Team,Last,First,Pos,Base,,Guaranteed,Date,Player,Season
LAG,Ibrahimovic,Zlatan,F,7200000,,7200000,6/1/19,Zlatan Ibrahimovic,2019
TOR,Bradley,Michael,M,6.00E+06,,6500000,6/1/19,Michael Bradley,2019
NONE,dos Santos,Giovani,F,4750000,,6500000,6/1/19,Giovani dos Santos,2019
TOR,Altidore,Jozy,F,4891250,,6332250,6/1/19,Jozy Altidore,2019
LAFC,Vela,Carlos,A,4500000,,6300000,6/1/19,Carlos Vela,2019
CHI,Schweinsteiger,Bastian,M,5600000,,5600000,6/1/19,Bastian Schweinsteiger,2019
MTL,Piatti,Ignacio,A,530000,,4443333,6/1/19,Ignacio Piatti,2019
TOR,Pozuelo Melero,Alejandro,A,3800000,,3800000,6/1/19,Alejandro Pozuelo,2019
DCU,Rooney,Wayne,F,3500000,,3507500,6/1/19,Wayne Rooney,2019
ATL,Martinez,Josef,F,3.00E+06,,3058333,6/1/19,Josef Martinez,2019
SEA,Lodeiro,Nicolas,A,2.00E+06,,2502500,6/1/19,Nicolas Lodeiro,2019
ORL,Nani,NA,A,2333333,,2486250,6/1/19,Nani,2019
COL,Howard,Tim,GK,2.00E+06,,2475000,6/1/19,Tim Howard,2019
POR,Valeri,Diego,A,2320000,,2420000,6/1/19,Diego Valeri,2019
NER,Gil,Carles,A,2100000,,2337500,6/1/19,Carles Gil,2019
PHI,Fabian,Marco,A,2000727,,2274087,6/1/19,Marco Fabian,2019
NONE,Movsisyan,Yura,F,2050000,,2273750,6/1/19,Yura Movsisyan,2019
CHI,Gaitan,Nicolas,A,1400004,,2197504,6/1/19,Nicolas Gaitan,2019
RSL,Rusnak,Albert,A,1800000,,2001667,6/1/19,Albert Rusnak,2019
LAG,dos Santos,Jonathan,M,2.00E+06,,2.00E+06,6/1/19,Jonathan dos Santos,2019
NYC,Moralez,Maxi,A,2.00E+06,,2.00E+06,6/1/19,Maximiliano Moralez,2019
CIN,Adi,Fanendo,F,1360008,,1965008,6/1/19,Fanendo Adi,2019
CHI,Nikolic,Nemanja,F,1700000,,1913333,6/1/19,Nemanja Nikolic,2019
LAG,Alessandrini,Romain,A,1539996,,1869996,6/1/19,Romain Alessandrini,2019
