"First","Last","Keeper","Team","Season","Min","Shots","Goals","Saves","Header%","Dist","xG","G-xG","Goals/Shot","xG/Shot","G-xG/Shot","Comp ($K)","Min/96","Shots/96","Goals/96","Saves/96","Header%/96","Dist/96","xG/96","G-xG/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Matt","Turner","Matt Turner","NER",2019,1904,116,28,88,0.120689655172414,17.5216804140396,38.686,-10.686,0.241379310344828,0.33350102405405,-0.0921217137092221,75.938,1904,5.84873949579832,1.41176470588235,4.43697478991597,0.120689655172414,17.5216804140396,1.95056061127411,-0.538795905391753,75.938,34,1,"Turner"
"Steve","Clark","Steve Clark","POR",2019,2365,108,24,84,0.157407407407407,18.7882851637557,32.55,-8.55,0.222222222222222,0.301388650751283,-0.0791664285290607,140,2365,4.38393234672304,0.974207188160677,3.40972515856237,0.157407407407407,18.7882851637557,1.32126745496376,-0.347060266803087,140,31,2,"Clark"
"Bill","Hamid","Bill Hamid","DCU",2019,3236,161,36,125,0.142857142857143,19.8327664989881,40.653,-4.653,0.22360248447205,0.252505227213073,-0.0289027427410238,487.495,3236,4.77626699629172,1.06798516687268,3.70828182941904,0.142857142857143,19.8327664989881,1.20603238312894,-0.138047216256262,487.495,37,3,"Hamid"
"Stefan","Frei","Stefan Frei","SEA",2019,3312,163,47,116,0.134969325153374,18.9849120156261,50.884,-3.884,0.288343558282209,0.312172925621199,-0.0238293673389907,337.5,3312,4.72463768115942,1.36231884057971,3.36231884057971,0.134969325153374,18.9849120156261,1.47490396742769,-0.112585126847985,337.5,46,4,"Frei"
"Daniel","Vega","Daniel Vega","SJE",2019,3310,161,53,108,0.124223602484472,17.9837076018685,56.02,-3.02,0.329192546583851,0.347952227057334,-0.018759680473483,210,3310,4.66948640483384,1.53716012084592,3.13232628398792,0.124223602484472,17.9837076018685,1.62475819377588,-0.0875980729299557,210,48,5,"Vega"
"Tyler","Miller","Tyler Miller","LAFC",2019,2728,97,25,72,0.154639175257732,17.8104245355476,27.799,-2.799,0.257731958762887,0.286591649667609,-0.028859690904722,77.565,2728,3.41348973607038,0.879765395894428,2.53372434017595,0.154639175257732,17.8104245355476,0.97827765458386,-0.0985122586894323,77.565,28,6,"Miller"
"Zac","MacMath","Zac MacMath","VAN",2019,783,48,11,37,0.0833333333333333,19.6951908804564,13.546,-2.546,0.229166666666667,0.282212545141958,-0.0530458784752909,190,783,5.88505747126437,1.34865900383142,4.53639846743295,0.0833333333333333,19.6951908804564,1.66083704727221,-0.312178043440792,190,19,7,"MacMath"
"David","Bingham","David Bingham","LAG",2019,3198,192,52,140,0.078125,19.7051783568593,54.465,-2.465,0.270833333333333,0.283674405213581,-0.0128410718802473,375,3198,5.76360225140713,1.5609756097561,4.20262664165103,0.078125,19.7051783568593,1.63498644055557,-0.0740108307994741,375,47,8,"Bingham"
"Carlos","Carlos","Carlos","PHI",2019,346,11,2,9,0,18.2084946410672,4.231,-2.231,0.181818181818182,0.384620570870768,-0.202802389052586,NA,346,3.05202312138728,0.554913294797688,2.4971098265896,0,18.2084946410672,1.17387087525876,-0.618957580461071,NA,10,9,"Carlos"
"Sean","Johnson","Sean Johnson","NYC",2019,2841,112,35,77,0.0982142857142857,19.6888502826096,37.07,-2.07,0.3125,0.330982423544722,-0.018482423544722,400,2841,3.78458289334741,1.18268215417107,2.60190073917635,0.0982142857142857,19.6888502826096,1.25263041814602,-0.0699482639749563,400,32,10,"Johnson"
