"Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","TSR","PDO","Pts","xPts","Gini18","Conf","Comp ($MM)"
"LAFC",2019,34,621,344,84,33,51,68.111,33.293,34.817,16.183,0.644,1098,72,68.313,0.657,"west",14.44
"NYC",2019,34,514,392,63,39,24,48.866,37.605,11.26,12.74,0.567,1017,64,53.41,0.433,"east",10.051
"ATL",2019,34,508,384,55,41,14,48.423,40.568,7.855,6.145,0.57,1002,58,52.37,0.493,"east",12.671
"SEA",2019,34,426,473,50,47,3,45.229,47.456,-2.227,5.227,0.474,1059,56,46.43,0.448,"west",12.621
"PHI",2019,34,476,394,57,49,8,50.218,42.709,7.509,0.491,0.547,964,55,51.399,0.518,"east",8.96
"MIN",2019,34,467,492,50,43,7,46.587,42.38,4.207,2.793,0.487,1095,53,49.457,0.392,"west",9.181
"RSL",2019,34,429,430,46,40,6,35,38.832,-3.832,9.832,0.499,982,53,44.375,0.447,"west",10.833
"LAG",2019,34,468,568,58,56,2,52.708,50.89,1.818,0.182,0.452,1060,51,48.15,0.633,"west",18.514
"DCU",2019,34,430,576,41,37,4,37.928,51.548,-13.619,17.619,0.427,1113,50,38.409,0.53,"east",10.572
"TOR",2019,34,438,425,57,50,7,47.442,42.36,5.082,1.918,0.508,999,50,50.199,0.724,"east",22.194
"POR",2019,34,562,484,50,48,2,51.632,51.775,-0.143,2.143,0.537,997,49,46.889,0.477,"west",11.786
"FCD",2019,34,469,433,51,46,5,44.666,40.746,3.92,1.08,0.52,980,48,49.037,0.344,"west",8.731
"NYRB",2019,34,447,430,49,49,0,46.81,43.004,3.806,-3.806,0.51,977,48,47.594,0.446,"east",8.302
"NER",2019,34,455,504,49,57,-8,46.511,60.192,-13.68,5.68,0.474,1042,45,39.016,0.49,"east",8.93
"SJE",2019,34,593,445,50,53,-3,54.684,45.447,9.237,-12.237,0.571,921,44,53.586,0.353,"west",9.161
"CHI",2019,34,477,375,53,47,6,54.909,40.158,14.75,-8.75,0.56,987,42,56.464,0.638,"east",16.907
"COL",2019,34,483,527,57,56,1,47.855,58.07,-10.214,11.214,0.478,1010,42,40.455,0.503,"west",8.937
"MTL",2019,34,391,376,44,59,-15,37.941,41.103,-3.162,-11.838,0.51,971,41,44.853,0.624,"east",12.139
"HOU",2019,34,452,484,45,59,-14,45.329,45.584,-0.255,-13.745,0.483,959,40,48.541,0.404,"west",7.666
"CLB",2019,34,395,441,37,47,-10,35.063,43.87,-8.806,-1.194,0.472,955,38,39.927,0.409,"east",10.401
"SKC",2019,34,499,464,46,67,-21,49.818,47.671,2.146,-23.146,0.518,913,38,47.619,0.384,"west",13.014
"ORL",2019,34,385,468,44,50,-6,40.812,41.903,-1.091,-4.909,0.451,1044,37,45.682,0.508,"east",11.36
"VAN",2019,34,359,681,37,55,-18,31.23,56.609,-25.378,7.378,0.345,1009,34,30.775,0.369,"west",8.001
"CIN",2019,34,359,513,29,74,-45,32.784,56.784,-24,-21,0.412,805,24,30.733,0.426,"east",10.312
