"Date","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
2019-10-06,"ATL",3,1.58,1.61,"NER",1,1.32,1.33,2,0.27,0.27,2,1.58,1.19
2019-10-06,"DCU",0,2.46,2.51,"CIN",0,0.59,0.61,0,1.86,1.9,0,2.54,0.31
2019-10-06,"FCD",6,2.22,2.22,"SKC",0,0.46,0.46,6,1.76,1.76,6,2.63,0.27
2019-10-06,"HOU",4,2.18,2.22,"LAG",2,1.59,1.59,2,0.6,0.64,2,1.84,0.97
2019-10-06,"LAFC",3,1.46,1.46,"COL",1,1.31,1.31,2,0.15,0.15,2,1.49,1.27
2019-10-06,"MTL",3,1.49,1.49,"NYRB",0,0.56,0.56,3,0.93,0.93,3,2.21,0.55
2019-10-06,"ORL",2,2.39,2.39,"CHI",4,2.1,2.41,-2,0.29,-0.02,-3,1.6,1.25
2019-10-06,"PHI",1,1.47,2.01,"NYC",2,1.12,1.12,-1,0.35,0.89,-1,1.63,1.07
2019-10-06,"POR",3,1.45,1.47,"SJE",1,0.73,0.74,2,0.71,0.73,2,1.9,0.81
2019-10-06,"SEA",1,0.81,0.81,"MIN",0,0.67,0.67,1,0.14,0.14,1,1.47,1.17
2019-10-06,"TOR",1,1.69,1.75,"CLB",0,0.56,0.56,1,1.13,1.19,1,2.3,0.5
2019-10-06,"VAN",0,1.34,1.42,"RSL",1,1.56,1.61,-1,-0.22,-0.19,-1,1.17,1.51
2019-09-30,"COL",3,2.2,2.88,"FCD",0,1.13,1.13,3,1.06,1.75,3,2.14,0.67
2019-09-30,"LAG",3,2.03,2.06,"VAN",4,1.84,1.86,-1,0.19,0.2,-1,1.49,1.26
2019-09-30,"MIN",1,1.48,1.5,"LAFC",1,1.1,1.1,0,0.38,0.4,0,1.69,1.08
2019-09-30,"RSL",2,0.48,0.48,"HOU",1,0.78,0.82,1,-0.3,-0.34,1,1,1.59
2019-09-30,"SJE",0,2.4,2.44,"SEA",1,0.75,0.75,-1,1.64,1.68,-1,2.46,0.37
2019-09-30,"SKC",2,1.5,1.52,"POR",2,1.29,1.83,0,0.21,-0.31,0,1.51,1.23
2019-09-29,"CHI",2,2.25,2.25,"TOR",2,1.32,1.32,0,0.93,0.93,0,2.04,0.74
2019-09-29,"CIN",1,1.2,1.2,"ORL",1,1.62,1.62,0,-0.42,-0.42,0,1.02,1.75
2019-09-29,"CLB",2,0.7,0.7,"PHI",0,1.2,1.21,2,-0.5,-0.51,2,0.81,1.9
2019-09-29,"MTL",1,1.11,1.11,"ATL",1,0.83,0.83,0,0.28,0.28,0,1.62,1.1
2019-09-29,"NER",2,1.32,1.32,"NYC",0,1.68,1.75,2,-0.36,-0.42,2,1.07,1.64
2019-09-29,"NYRB",0,1.36,1.36,"DCU",0,0.48,0.49,0,0.87,0.87,0,2.08,0.63
2019-09-26,"LAFC",3,1.31,1.85,"HOU",0,1.01,1.01,3,0.3,0.84,2,1.59,1.14
2019-09-26,"MIN",2,1.93,1.93,"SKC",1,2.11,2.12,1,-0.19,-0.19,1,1.24,1.49
2019-09-26,"NYC",4,1.41,1.96,"ATL",1,0.8,1.33,3,0.61,0.62,3,1.85,0.87
2019-09-26,"POR",2,2.57,2.57,"NER",2,2.26,2.8,0,0.31,-0.23,0,1.62,1.23
2019-09-26,"RSL",1,1.05,1.05,"LAG",2,1.22,1.23,-1,-0.17,-0.18,-1,1.24,1.5
2019-09-26,"SJE",1,1.45,1.45,"PHI",2,0.83,0.83,-1,0.62,0.62,-1,1.88,0.78
2019-09-23,"DCU",2,1.84,1.84,"SEA",0,1.35,1.35,2,0.49,0.49,2,1.76,0.98
2019-09-22,"CIN",0,0.86,0.87,"CHI",0,1.2,1.2,0,-0.34,-0.33,0,1.04,1.63
2019-09-22,"FCD",1,1.37,1.37,"NYC",1,1.04,1.04,0,0.33,0.33,0,1.58,1.07
2019-09-22,"HOU",2,1.99,1.99,"ORL",1,0.56,0.56,1,1.44,1.44,1,2.52,0.31
2019-09-22,"LAFC",1,1.69,2.24,"TOR",1,0.49,0.49,0,1.2,1.75,0,2.33,0.5
2019-09-22,"LAG",2,2.52,2.59,"MTL",1,1.25,1.25,1,1.27,1.33,1,2.21,0.67
2019-09-22,"NER",0,1.6,1.63,"RSL",0,0.58,0.58,0,1.03,1.05,0,2.14,0.62
2019-09-22,"NYRB",2,2.21,2.21,"PHI",0,0.7,0.73,2,1.5,1.47,2,2.45,0.38
2019-09-22,"POR",0,2.68,2.8,"MIN",0,1.46,1.46,0,1.21,1.34,0,2.12,0.71
2019-09-22,"SKC",1,1.52,1.52,"COL",3,1.35,1.36,-2,0.18,0.17,-1,1.54,1.21
2019-09-21,"ATL",3,1.93,1.94,"SJE",0,1.46,1.74,3,0.47,0.19,2,1.7,1.05
2019-09-21,"VAN",1,1.04,1.04,"CLB",1,1.26,1.8,0,-0.22,-0.76,0,1.2,1.48
2019-09-19,"CIN",0,1.46,1.46,"ATL",2,1.37,1.37,-2,0.09,0.09,-2,1.44,1.25
2019-09-19,"POR",0,1.73,1.73,"NYRB",2,2.12,2.84,-2,-0.4,-1.11,-2,1.17,1.62
2019-09-19,"SEA",0,1.51,1.51,"FCD",0,0.38,0.38,0,1.13,1.13,0,2.29,0.48
2019-09-16,"LAG",7,2.76,3.42,"SKC",2,2.15,2.17,5,0.6,1.25,5,1.76,1.06
2019-09-15,"ATL",1,1.74,1.74,"CLB",2,0.96,0.97,-1,0.77,0.76,-2,1.99,0.76
2019-09-15,"MIN",3,2.23,2.24,"RSL",1,1.26,1.26,2,0.98,0.98,2,2.08,0.76
2019-09-15,"MTL",0,1.83,1.87,"CIN",1,0.7,0.71,-1,1.13,1.16,-1,2.21,0.54
2019-09-15,"ORL",3,1.78,1.92,"NER",2,1.27,1.27,1,0.52,0.65,0,1.74,1
2019-09-15,"PHI",1,0.86,0.86,"LAFC",1,2.07,2.12,0,-1.22,-1.25,0,0.53,2.28
