"First","Last","Player","Team","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Joao","Plata","Joao Plata","RSL",8715,"Wing",385,160,21.2877001247809,0.231168831168831,46,46.432,3.54208649012531,-0.431873083489168,299,19.0037533928822,34,29.9269186993877,4.07308130061225,76.3587917828769,28.2650898301908,32.2029156042085,0.120602267749323,0.100090029094942,-0.00112174826880303,0.0136223454869975,355,"RSL",8715,"Wing",3.07332185886403,1.20068846815835,0.319449225473322,0.404985711017418,-0.0175839859702036,-0.0855364855440963,2.47848537005164,0.253356282271945,0.235814804499077,0.0175414777728682,0.640800515516495,0.179773710785346,0.282800114767884,465,84,84,"Plata"
"Javier","Morales","Javier Morales","RSL",5382,"CAM",241,86,24.6908639963877,0.473029045643154,34,27.634,3.4130690551036,6.36583190250526,456,19.1969418614436,40,40.6892441927774,-0.689244192777376,68.3234122902721,20.435022388976,16.7463045773207,0.114664597914916,0.0892307986683714,0.0264142402593579,-0.0015115004227574,388,"RSL",5382,"CM",1.56967670011148,0.570791527313266,0.214046822742475,0.190866089332794,-0.00440715057118294,0.0231807334096807,2.76477146042363,0.214046822742475,0.208457115822352,0.00558970692012312,0.399323205155146,0.127352772668291,0.11280085272667,440,83,83,"Morales"
"Alvaro","Saborio","Alvaro Saborio","RSL",2895,NA,283,116,17.1358956791616,0.183745583038869,51,46.456,-0.068872020192849,4.54406047218156,68,21.9011149996506,9,8.30131969941144,0.698680300588558,54.7572592272299,33.4157105154657,29.1109821167807,0.164155263349182,0.122078230873698,0.0160567507850939,0.0102747103027729,412,"RSL",2895,"F",0.994818652849741,0.431088082901554,0.0994818652849741,0.112230019844452,0.00728957024426932,-0.0127481545594782,0.265284974093264,0,0.0195393873128598,-0.0195393873128598,0.131769407157312,0.0678058638208564,0.0888691194572944,493,85,85,"Saborio"
"Albert","Rusnak","Albert Rusnak","RSL",8119,"CAM",229,87,24.7228037798503,0.2882096069869,27,22.099,1.77926616383461,4.90128169766079,243,20.1781202560761,20,18.4371572305324,1.56284276946756,40.5358755328717,14.733463527063,12.6004094620214,0.0965009532853241,0.0758730750227672,0.0214029768456803,0.00643145172620396,1268,"RSL",8119,"CAM",2.70772262593916,1.02869811553147,0.31925113930287,0.261297814635369,0.0210382499973054,0.0579533246675004,2.87326025372583,0.236482325409533,0.218003090790875,0.0184792346186582,0.479300905426244,0.17421018581082,0.148988706534556,1268,82,82,"Rusnak"
"Kyle","Beckerman","Kyle Beckerman","RSL",12412,"CDM",309,102,27.3210661839663,0.249190938511327,20,15.344,6.98055197903808,4.65595908054344,250,22.7116267955507,21,19.4885044582086,1.51149554179144,34.8325453776651,13.8075276797684,9.87632387268067,0.0496570903542284,0.0779540178328342,0.0150678287396228,0.00604598216716578,480,"RSL",12412,"CDM",1.12922977763455,0.332581372864969,0.0464067031904608,0.0530714441201989,0.0130646303604169,-0.00666474092973804,0.827586206896552,0.0386722526587174,0.0617774206414878,-0.0231051679827705,0.114848864761687,0.0397883683309492,0.0377190198570731,647,78,80,"Beckerman"
"Jefferson","Savarino","Jefferson Savarino","RSL",7238,"Wing",216,94,22.8047869289669,0.185185185185185,21,15.885,2.25209218997873,5.11451785238962,125,19.6520603758814,19,14.7856902687644,4.21430973123559,30.6711724163748,11.0014263223284,8.85148820995572,0.0735438988315295,0.118285522150115,0.0236783233906927,0.0337144778498847,427,"RSL",7238,"Wing",2.86487980105001,1.24675324675325,0.27852998065764,0.210694430252915,0.0298702473387618,0.0678355504047256,1.65791655153357,0.252003315833103,0.196107524979467,0.0558957908536359,0.406801955232382,0.145915574322122,0.117400230471919,427,79,81,"Savarino"
"Fabian","Espindola","Fabian Espindola","RSL",2389,NA,131,60,19.6191873881298,0.16793893129771,19,16.726,1.3555373318034,2.27380498718281,60,20.0357979508167,9,8.56008681184905,0.439913188150952,25.2862818246662,12.4670129096785,10.2757626791384,0.127680877960437,0.142668113530817,0.0173572899784947,0.00733188646918253,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,79,"Espindola"
"Yura","Movsisyan","Yura Movsisyan","RSL",3860,"F",113,46,16.4800818964308,0.230088495575221,16,19.156,-1.48765067830125,-3.15622983280533,36,19.2112962931526,3,4.4966739318177,-1.4966739318177,23.652903764623,11.8243441788901,13.1367660192101,0.169524157812437,0.124907609217158,-0.0279312374584543,-0.041574275883825,1031,"RSL",3860,"F",2.81036269430052,1.1440414507772,0.397927461139896,0.476424368898785,-0.0369985660924663,-0.0784969077588891,0.895336787564767,0.0746113989637306,0.111834377578886,-0.0372229786151552,0.588258746477671,0.294076953671879,0.32671749685082,1031,81,77,"Movsisyan"
"Luke","Mulholland","Luke Mulholland","RSL",6759,"CM",153,38,24.0700181551341,0.274509803921569,16,9.93,1.43854417900515,6.07028441696953,93,21.1142092960563,12,9.94818091071248,2.05181908928752,19.8778964937429,8.34140105282711,6.12742874405087,0.0649001018498723,0.106969687211962,0.0396750615488205,0.022062570852554,116,"RSL",6759,"CM",1.5907678650688,0.355082112738571,0.142032845095428,0.0932791091963934,0.0121500532352218,0.0487537358990349,0.809587217043941,0.085219707057257,0.0914586650886088,-0.00623895803135184,0.184737774285002,0.0769164898270341,0.0589538886938703,138,72,76,"Mulholland"
"Damir","Kreilach","Damir Kreilach","RSL",5798,"CDM",125,38,19.6584267596475,0.128,18,13.787,-1.42583280457735,4.21346092095937,68,23.4136197247573,8,5.86082803324707,2.13917196675293,19.6473671122877,9.4385211910254,8.22384367790214,0.110292312632325,0.086188647547751,0.033707687367675,0.0314584112757784,1050,"RSL",5798,"CDM",2.06967919972404,0.629182476716109,0.298033804760262,0.228269705344584,-0.0236081319833435,0.0697640994156778,1.12590548464988,0.132459468782339,0.0970402709885683,0.0354191977937705,0.325309976333153,0.156277687881759,0.136165745615489,1050,76,78,"Kreilach"
"Ned","Grabavoy","Ned Grabavoy","RSL",2709,"CM",84,28,20.4102636932619,0.226190476190476,7,8.208,0.618312517658616,-1.20787452894152,128,23.2769375150391,10,11.0567447878727,-1.05674478787269,19.2646193168142,3.8377467529368,4.94101404469236,0.0977127920112086,0.0863808186552554,-0.0143794586778753,-0.00825581865525541,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,67,"Grabavoy"
"Luis","Silva","Luis Silva","RSL",3915,"F",97,38,17.4038223868019,0.22680412371134,12,13.942,-1.25829696285468,-1.94235630646448,46,21.858291087435,3,5.0326573479533,-2.0326573479533,18.9750136544178,5.89224719386892,7.33786449019657,0.143735632025407,0.109405594520724,-0.0200242918192214,-0.044188203216376,213,"RSL",3915,"F",2.37854406130268,0.931800766283525,0.294252873563218,0.341881533951619,-0.0308547914263216,-0.047628660388401,1.127969348659,0.0735632183908046,0.123406157191192,-0.0498429388003873,0.465287691142811,0.144484222378395,0.179932309338153,213,77,74,"Silva"
"Olmes","Garcia","Olmes Garcia","RSL",2745,"F",114,50,20.2671676104087,0.114035087719298,11,12.223,1.29940211734873,-1.22293369846419,46,19.0001797274364,5,5.88591165444439,-0.885911654444385,18.1088453529086,7.86460000876814,8.05416521254667,0.107218716653195,0.127954601183574,-0.0107274885830192,-0.0192589490096605,132,"RSL",2745,"Wing",1.74863387978142,0.804371584699454,0.104918032786885,0.183525987071249,0.0148233001694708,-0.0786079542843641,0.909289617486339,0.0699453551912568,0.113167884175216,-0.0432225289839595,0.296693871246466,0.109674305482371,0.133515144675399,142,74,72,"Garcia"
"Corey","Baird","Corey Baird","RSL",4241,"F",70,33,17.6353022531529,0.214285714285714,13,9.931,1.88486622005849,3.06859523978303,52,20.9401680753484,8,6.80053400919122,1.19946599080878,16.7319387694082,6.69042723400738,5.67558609561349,0.141877210860242,0.130779500176754,0.0438370748540433,0.0230666536693996,62,"RSL",4241,"F",1.58453195001179,0.746993633576987,0.294270219287904,0.224808973586614,0.042666153531152,0.0694612457012901,1.17708087715162,0.181089365715633,0.153938048781504,0.0271513169341294,0.378747022368117,0.151445653021624,0.128473535764889,62,73,75,"Baird"
"Luis","Gil","Luis Gil","RSL",2839,"CM",126,39,23.8796580257248,0.19047619047619,11,9.201,0.26539584999178,1.79870890813089,83,22.9250988608085,6,7.29662182967083,-1.29662182967083,16.4979129215399,5.58753363882484,5.03183971387619,0.073026119776739,0.0879111063815762,0.0142754675248484,-0.0156219497550702,251,"RSL",2839,"CM",0.912997534343079,0.270517787953505,0.0338147234941881,0.067578438685934,-0.0012232812794365,-0.0337637151917459,0.371961958436069,0.0338147234941881,0.0193125509752957,0.0145021725188924,0.0868909896612297,0.00118522536553467,0.0360190272587952,335,71,73,"Gil"
