"Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","TSR","PDO","Pts","xPts","Gini18","Conf","Comp ($MM)"
"LAFC",2019,34,18.265,10.118,2.471,0.971,1.5,2.003,0.979,1.024,0.476,0.644,1098,2.118,2.009,0.657,"west",14.44
"NYC",2019,34,15.118,11.529,1.853,1.147,0.706,1.437,1.106,0.331,0.375,0.567,1017,1.882,1.571,0.433,"east",10.051
"ATL",2019,34,14.941,11.294,1.618,1.206,0.412,1.424,1.193,0.231,0.181,0.57,1002,1.706,1.54,0.493,"east",12.671
"SEA",2019,34,12.529,13.912,1.471,1.382,0.088,1.33,1.396,-0.066,0.154,0.474,1059,1.647,1.366,0.448,"west",12.621
"PHI",2019,34,14,11.588,1.676,1.441,0.235,1.477,1.256,0.221,0.014,0.547,964,1.618,1.512,0.518,"east",8.96
"MIN",2019,34,13.735,14.471,1.471,1.265,0.206,1.37,1.246,0.124,0.082,0.487,1095,1.559,1.455,0.392,"west",9.181
"RSL",2019,34,12.618,12.647,1.353,1.176,0.176,1.029,1.142,-0.113,0.289,0.499,982,1.559,1.305,0.447,"west",10.833
"LAG",2019,34,13.765,16.706,1.706,1.647,0.059,1.55,1.497,0.053,0.005,0.452,1060,1.5,1.416,0.633,"west",18.514
"DCU",2019,34,12.647,16.941,1.206,1.088,0.118,1.116,1.516,-0.401,0.518,0.427,1113,1.471,1.13,0.53,"east",10.572
"TOR",2019,34,12.882,12.5,1.676,1.471,0.206,1.395,1.246,0.149,0.056,0.508,999,1.471,1.476,0.724,"east",22.194
"POR",2019,34,16.529,14.235,1.471,1.412,0.059,1.519,1.523,-0.004,0.063,0.537,997,1.441,1.379,0.477,"west",11.786
"FCD",2019,34,13.794,12.735,1.5,1.353,0.147,1.314,1.198,0.115,0.032,0.52,980,1.412,1.442,0.344,"west",8.731
"NYRB",2019,34,13.147,12.647,1.441,1.441,0,1.377,1.265,0.112,-0.112,0.51,977,1.412,1.4,0.446,"east",8.302
"NER",2019,34,13.382,14.824,1.441,1.676,-0.235,1.368,1.77,-0.402,0.167,0.474,1042,1.324,1.148,0.49,"east",8.93
"SJE",2019,34,17.441,13.088,1.471,1.559,-0.088,1.608,1.337,0.272,-0.36,0.571,921,1.294,1.576,0.353,"west",9.161
"CHI",2019,34,14.029,11.029,1.559,1.382,0.176,1.615,1.181,0.434,-0.257,0.56,987,1.235,1.661,0.638,"east",16.907
"COL",2019,34,14.206,15.5,1.676,1.647,0.029,1.408,1.708,-0.3,0.33,0.478,1010,1.235,1.19,0.503,"west",8.937
"MTL",2019,34,11.5,11.059,1.294,1.735,-0.441,1.116,1.209,-0.093,-0.348,0.51,971,1.206,1.319,0.624,"east",12.139
"HOU",2019,34,13.294,14.235,1.324,1.735,-0.412,1.333,1.341,-0.007,-0.404,0.483,959,1.176,1.428,0.404,"west",7.666
"CLB",2019,34,11.618,12.971,1.088,1.382,-0.294,1.031,1.29,-0.259,-0.035,0.472,955,1.118,1.174,0.409,"east",10.401
"SKC",2019,34,14.676,13.647,1.353,1.971,-0.618,1.465,1.402,0.063,-0.681,0.518,913,1.118,1.401,0.384,"west",13.014
"ORL",2019,34,11.324,13.765,1.294,1.471,-0.176,1.2,1.232,-0.032,-0.144,0.451,1044,1.088,1.344,0.508,"east",11.36
"VAN",2019,34,10.559,20.029,1.088,1.618,-0.529,0.919,1.665,-0.746,0.217,0.345,1009,1,0.905,0.369,"west",8.001
"CIN",2019,34,10.559,15.088,0.853,2.176,-1.324,0.964,1.67,-0.706,-0.618,0.412,805,0.706,0.904,0.426,"east",10.312
